,Kills,Total Damage,Headshots,Wins,Total Games Played
BloodHound,163,51204,238,10,115
Gibralter ,131,42527,174,9,114
Lifeline,90,29764,134,8,88
Pathfinder,1880,580883,2419,101,1500
Wraith,101,31371,113,4,85
Bangalore,148,45135,162,10,115
Caustic,103,29873,118,5,78
Mirage,59,17308,67,3,49
Octane,586,167188,742,45,443
Wattson,77,23942,101,5,57
Crypto,321,127607,392,22,311
Revenant,56,20887,90,5,51
Loba,102,37951,162,6,116
Rampart,276,93523,274,14,225
Horizon,118,35389,155,6,81
Fuse,62,20052,62,5,45
Valkyrie,270,93252,335,17,182
Seer,122,41215,168,7,94
Ash,30,10696,42,2,19
Mad Maggie,54,17201,109,4,32
Newcastle,38,13522,67,5,34
Vantage,92,38059,99,7,57
