,Kills,Total Damage,Headshots,Wins,Total Games Played
BloodHound,2,705,0,0,6
Gibralter ,136,43022,236,6,274
Lifeline,1133,367142,1697,67,1666
Pathfinder,259,84392,397,8,455
Wraith,7,2120,5,0,11
Bangalore,781,305400,1328,51,1773
Caustic,0,0,0,0,0
Mirage,0,0,0,0,0
Octane,0,0,0,0,0
Wattson,0,0,0,0,0
Crypto,17,4939,18,2,31
Revenant,0,0,0,0,0
Loba,0,0,0,0,0
Rampart,0,0,0,0,0
Horizon,0,0,0,0,0
Fuse,3,1357,5,0,7
Valkyrie,1,469,2,0,1
Seer,0,0,0,0,0
Ash,0,0,0,0,0
Mad Maggie,0,0,0,0,0
Newcastle,0,0,0,0,0
Vantage,0,0,0,0,0
