,Kills,Total Damage,Headshots,Wins,Total Games Played
BloodHound,1603,562319,2565,80,1304
Gibralter ,109,43184,226,5,115
Lifeline,1225,383457,1600,68,894
Pathfinder,2730,910784,4582,128,1961
Wraith,281,92415,391,11,224
Bangalore,91,35017,163,6,82
Caustic,236,28255,308,10,199
Mirage,259,91159,348,7,228
Octane,903,307134,1578,45,588
Wattson,60,21872,89,1,46
Crypto,74,24459,94,7,62
Revenant,346,115321,531,17,251
Loba,89,32200,163,4,60
Rampart,38,12985,47,1,28
Horizon,258,82978,363,14,169
Fuse,26,10464,46,3,14
Valkyrie,32,10611,47,3,18
Seer,11,4323,29,0,11
Ash,86,26971,115,3,42
Mad Maggie,27,7680,57,0,13
Newcastle,2,719,5,0,2
Vantage,113,37278,193,4,70
