,Kills,Total Damage,Headshots,Wins,Total Games Played
BloodHound,156,58605,250,10,149
Gibralter ,132,53515,243,7,132
Lifeline,205,84052,329,14,172
Pathfinder,261,112974,565,14,288
Wraith,123,55481,221,9,119
Bangalore,53,21756,84,3,55
Caustic,97,34324,128,7,61
Mirage,57,19507,95,2,47
Octane,1316,505373,2217,85,1111
Wattson,80,33488,139,5,78
Crypto,39,19508,83,1,50
Revenant,225,88862,337,16,194
Loba,118,46707,199,11,121
Rampart,17,6696,29,2,18
Horizon,1025,407679,1902,59,896
Fuse,49,18894,69,2,62
Valkyrie,14,6084,29,1,23
Seer,25,9785,37,1,18
Ash,47,23416,105,3,63
Mad Maggie,37,18721,107,3,46
Newcastle,7,3352,14,0,9
Vantage,5,3337,17,1,6
